epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
10,427.465,0.70569,1.19982,1.08162,0.6849,0.81091,0.77187,0.49327,1.18697,2.26912,1.48068,0.00135624,0.00135624,0.00135624
11,467.362,0.66563,0.99779,1.03952,0.67157,0.79855,0.91555,0.618,0.79498,2.77699,1.14092,0.00133693,0.00133693,0.00133693
12,508.551,0.69439,1.07355,1.09804,0.97383,0.96154,0.97896,0.7908,0.67331,1.6188,1.04298,0.00130393,0.00130393,0.00130393
13,549.182,0.67002,0.9847,1.07738,0.9967,0.98624,0.995,0.83483,0.71233,1.39315,1.0421,0.00127092,0.00127092,0.00127092
14,589.399,0.64143,0.91678,1.03608,0.92142,0.99314,0.995,0.85134,0.65377,1.27377,0.98911,0.00123791,0.00123791,0.00123791
15,630.456,0.62471,1.05236,1.1061,0.96461,0.98616,0.995,0.8657,0.59451,1.3254,0.99677,0.00120491,0.00120491,0.00120491
16,671.239,0.62007,0.91453,1.02784,0.86489,0.95579,0.9282,0.77448,0.6709,1.37434,1.01421,0.0011719,0.0011719,0.0011719
17,711.557,0.63247,0.9166,1.04437,0.95578,0.95251,0.99033,0.84203,0.58949,1.18292,0.99293,0.00113889,0.00113889,0.00113889
18,751.882,0.60548,0.8778,1.02742,0.95442,0.84836,0.96464,0.83796,0.60655,1.08789,0.98323,0.00110589,0.00110589,0.00110589
19,794.846,0.62651,0.86471,1.02239,0.94072,1,0.995,0.84512,0.60793,1.09627,0.96808,0.00107288,0.00107288,0.00107288
20,841.372,0.61248,0.85988,1.05771,0.97053,1,0.995,0.84685,0.56678,1.04153,0.98312,0.00103987,0.00103987,0.00103987
21,888.321,0.59846,0.8412,1.02029,0.96044,1,0.995,0.86467,0.5599,0.99714,0.95524,0.00100687,0.00100687,0.00100687
22,933.578,0.58029,0.78573,1.02646,0.90217,0.75,0.80261,0.70278,0.54493,1.27646,0.97493,0.000973861,0.000973861,0.000973861
23,981.644,0.62198,0.79507,1.04201,0.97822,0.8649,0.97,0.83747,0.54303,0.98922,0.96163,0.000940855,0.000940855,0.000940855
24,1029.41,0.55632,0.7229,0.98505,0.96164,1,0.995,0.86019,0.5547,0.85772,1.00437,0.000907848,0.000907848,0.000907848
25,1077.81,0.59953,0.73327,1.02718,0.96523,1,0.995,0.89356,0.56193,0.86107,0.9646,0.000874842,0.000874842,0.000874842
26,1126.38,0.60413,0.75027,1.02421,0.99196,1,0.995,0.89317,0.50186,0.77118,0.92178,0.000841835,0.000841835,0.000841835
27,1174.12,0.56105,0.70373,1.00654,0.98864,1,0.995,0.90626,0.48551,0.7331,0.92978,0.000808828,0.000808828,0.000808828
28,1222.34,0.60332,0.76344,1.02363,0.98651,1,0.995,0.87883,0.52775,0.7625,0.94999,0.000775822,0.000775822,0.000775822
29,1268.24,0.58535,0.69354,1.01687,0.98789,1,0.995,0.85846,0.542,0.80997,0.98079,0.000742815,0.000742815,0.000742815
30,1314.86,0.58052,0.66774,0.99469,0.99177,1,0.995,0.88601,0.56869,0.77983,0.96141,0.000709809,0.000709809,0.000709809
31,1361.86,0.57054,0.65735,1.0069,0.99201,1,0.995,0.82168,0.61957,0.76591,1.02152,0.000676802,0.000676802,0.000676802
32,1405.92,0.55787,0.68705,1.02127,0.99111,1,0.995,0.75186,0.60772,0.71589,1.06585,0.000643795,0.000643795,0.000643795
33,1450.52,0.4982,0.62968,0.97989,0.9893,1,0.995,0.78551,0.61283,0.70694,1.04656,0.000610789,0.000610789,0.000610789
34,1491.19,0.51484,0.62371,0.95234,0.98768,1,0.995,0.80815,0.60837,0.7078,1.04769,0.000577782,0.000577782,0.000577782
35,1531.67,0.49803,0.58076,0.96742,0.98523,1,0.995,0.86342,0.49684,0.69463,0.96455,0.000544776,0.000544776,0.000544776
36,1572.91,0.5175,0.59554,0.97556,0.98374,1,0.995,0.90004,0.51056,0.64869,0.95108,0.000511769,0.000511769,0.000511769
37,1613.2,0.5051,0.5503,0.97274,0.9855,1,0.995,0.87247,0.51921,0.64791,0.94801,0.000478762,0.000478762,0.000478762
38,1653.95,0.49633,0.57129,0.98173,0.99221,1,0.995,0.8835,0.50088,0.65987,0.94281,0.000445756,0.000445756,0.000445756
39,1695.11,0.49392,0.58058,0.95372,0.99056,1,0.995,0.89266,0.51407,0.63548,0.94358,0.000412749,0.000412749,0.000412749
40,1736.59,0.46258,0.53797,0.94451,0.9911,1,0.995,0.88383,0.47904,0.60043,0.94258,0.000379743,0.000379743,0.000379743
41,1777.09,0.44468,0.68888,0.90447,0.99067,1,0.995,0.87254,0.47917,0.59399,0.92315,0.000346736,0.000346736,0.000346736
42,1816.94,0.41567,0.6082,0.91531,0.98375,1,0.995,0.86768,0.52475,0.66115,0.93562,0.000313729,0.000313729,0.000313729
43,1856.22,0.40003,0.61644,0.89597,0.98331,1,0.995,0.86396,0.52863,0.66707,0.94272,0.000280723,0.000280723,0.000280723
44,1896.44,0.39425,0.55965,0.88081,0.98923,1,0.995,0.87516,0.50172,0.59671,0.93885,0.000247716,0.000247716,0.000247716
45,1936.92,0.39104,0.58144,0.8879,0.94831,0.9957,0.995,0.90087,0.48809,0.63088,0.9311,0.00021471,0.00021471,0.00021471
46,1976.66,0.39581,0.56096,0.89163,0.93229,0.99202,0.995,0.90906,0.46972,0.67215,0.92931,0.000181703,0.000181703,0.000181703
47,2017.04,0.37386,0.54457,0.90695,0.93809,0.99471,0.995,0.90625,0.45219,0.66186,0.92394,0.000148696,0.000148696,0.000148696
48,2057.15,0.3715,0.55201,0.89459,0.9472,0.99639,0.995,0.88342,0.45207,0.62965,0.9217,0.00011569,0.00011569,0.00011569
49,2096.85,0.34564,0.52321,0.85375,0.96361,1,0.995,0.89135,0.46119,0.6055,0.92279,8.26832e-05,8.26832e-05,8.26832e-05
50,2136.57,0.34499,0.52524,0.87286,0.98905,1,0.995,0.88884,0.47037,0.58445,0.92749,4.96766e-05,4.96766e-05,4.96766e-05
